Offer,Company Name,Product Details,Pack Details,Discounted Price,Original Price
24% OFF,Britannia,"Britannia
Nutri Choice Digestive High Fibre Biscuits
4.1
10485 Ratings
2 x 1 kg - Multipack",No Pack Details,₹256.88,₹338
28% OFF,Britannia,"Britannia
Treat Croissant - Cocoa Creme
4
85 Ratings
45 g - (Pack of 5)",No Pack Details,₹90,₹125
₹12 OFF,Parle,"Parle
Platina Hide & Seek Chocolate Chip Cookies
4.1
10861 Ratings
2x200 g - Multipack",No Pack Details,₹108,₹120
25% OFF,Britannia,"Britannia
nutri choice Oats Cookies Orange Almond
4.1
6875 Ratings
3x 75 g - Multipack",No Pack Details,₹56.02,₹75
18% OFF,Britannia,"Britannia
Nice Time - Sugar Showered Coconut Biscuits
4
6157 Ratings
6x143 g - Multipack",No Pack Details,₹122.76,₹150
46% OFF,Bingo!,"Bingo!
Potato Chips - Original Style, Chilli Sprinkled
4.1
9840 Ratings
2 x 85 g - Multipack",No Pack Details,₹54.45,₹100
19% OFF,Cadbury Bournville,"Cadbury Bournville
Rich Cocoa 70% Dark Chocolate Bar
4.1
2872 Ratings
2 x 80 g - Multipack",No Pack Details,₹193.8,₹240
₹18 OFF,Parle,"Parle
G Original Gluco Biscuits
4.1
16003 Ratings
2 x 800 g - Multipack",No Pack Details,₹182,₹200
18% OFF,Britannia,"Britannia
NutriChoice Sugar Free Cream Cracker
4.1
10954 Ratings
2x300 g - Multipack",No Pack Details,₹82.03,₹100
27% OFF,Cadbury Dairy Milk Silk,"Cadbury Dairy Milk Silk
Chocolate Home Treats
4.2
2505 Ratings
2 x 135 g - (Multipack)",No Pack Details,₹321.86,₹440
₹30 OFF,Parle,"Parle
G Gold Biscuits
4.1
5629 Ratings
2 x 1 Kg - Multipack",No Pack Details,₹270,₹300
